transaction_id,user_id,date,amount,merchant,category,mcc,status
1,47,2025-09-11,1076.95,TEST_MERCHANT_999,Цифровые товары - мультикатегория,5818,not green
2,48,2025-11-27,1261.48,TEST_MERCHANT_999,China Airlines,3078,not green
3,16,2025-09-01,221.97,TEST_MERCHANT_999,Eurofly,3003,not green
4,2,2025-06-15,93.16,TEST_MERCHANT_999,Cyprus Airways,3292,not green
5,17,2025-09-15,480.88,TEST_MERCHANT_999,"Авиалинии, авиакомпании",3227,not green
6,32,2025-08-11,628.62,TEST_MERCHANT_999,Cumulus Hotels,3678,not green
7,43,2025-06-21,1109.15,TEST_MERCHANT_999,"Секонд-хенды, магазины б/у товаров, комиссионки",5931,green
8,8,2025-09-11,1784.21,TEST_MERCHANT_999,"Авиалинии, авиакомпании",3121,not green
9,3,2025-09-30,125.93,TEST_MERCHANT_999,Спорттовары,5941,green
10,12,2025-08-14,950.41,TEST_MERCHANT_999,"Авиалинии, авиакомпании",3081,not green
11,20,2025-08-27,42.78,TEST_MERCHANT_999, Rent-a-wreck,3370,not green
12,16,2025-09-25,531.25,TEST_MERCHANT_999,Плавательные бассейны – продажа и снабжение,5996,not green
13,14,2025-09-08,812.32,TEST_MERCHANT_999,Spirit Airlines,3260,not green
14,16,2025-09-12,87.66,TEST_MERCHANT_999,Cosmopolitan of Las Vegas,3828,not green
15,49,2025-10-30,752.91,TEST_MERCHANT_999,"Услуги по переделке, починке и пошиву одежды",5697,not green
16,43,2025-10-09,139.09,TEST_MERCHANT_999,Via Route Rent-a-Car,3440,not green
17,49,2025-10-28,272.08,TEST_MERCHANT_999,"Антикварные магазины – продажа, ремонт и услуги реставрации",5932,not green
18,33,2025-07-23,953.06,TEST_MERCHANT_999,Агентства по аренде автомобилей,3371,not green
19,30,2025-06-02,293.63,TEST_MERCHANT_999,"Авиалинии, авиакомпании",3179,not green
20,12,2025-08-27,289.14,TEST_MERCHANT_999,Cumulus Hotels,3678,not green
21,15,2025-11-05,555.25,TEST_MERCHANT_999,National Banks (RCL Internal),6025,not green
22,18,2025-07-08,896.19,TEST_MERCHANT_999,"Магазины офисных, школьных принадлежностей, канцтоваров",5943,not green
23,28,2025-10-08,403.0,TEST_MERCHANT_999,"Набор текстов, изготовление печатных форм и связанные услуги",2791,not green
24,23,2025-06-21,1961.68,TEST_MERCHANT_999,Железные дороги – перевозка грузов,4011,green
25,14,2025-11-08,288.41,TEST_MERCHANT_999,Arcard Hotels,3670,not green
26,30,2025-07-28,1383.89,TEST_MERCHANT_999,"Принадлежности для флористов, питомник и цветы",5193,green
27,33,2025-06-22,685.18,TEST_MERCHANT_999,Croatia Air,3088,not green
28,45,2025-08-28,789.99,TEST_MERCHANT_999,LACSA (Коста Рика),3187,not green
29,15,2025-07-19,126.38,TEST_MERCHANT_999,Novotel Hotels,3642,not green
30,7,2025-07-29,1361.41,TEST_MERCHANT_999,Услуги садоводства и ландшафтного дизайна,780,green
31,15,2025-11-17,454.9,"Отели,_мотели,_курорты_Store_54",,3760,not green
32,42,2025-06-15,4073.6,Рекламные_услуги_Store_29,Рекламные услуги,7311,not green
33,46,2025-11-22,521.73,Пассажирские_железнодорожные_перевозки_Store_58,Пассажирские железнодорожные перевозки,4112,green
34,38,2025-07-21,395.37,Членские_организации_–_нигде_более_не_классифицированные_Store_76,Членские организации – нигде более не классифицированные,8699,not green
35,46,2025-09-16,241.28,Цифровые_товары_–_игры_Store_36,Цифровые товары – игры,5816,not green
36,44,2025-07-25,405.38,National_Banks_(RCL_Internal)_Store_1,National Banks (RCL Internal),6025,not green
37,11,2025-08-03,1654.52,"Аквариумы,_дельфинарии,_зоопарки_и_морские_парки_Store_98","Аквариумы, дельфинарии, зоопарки и морские парки",7998,not green
38,29,2025-10-09,882.51,Клубы_видеоигр_Store_21,Клубы видеоигр,7994,not green
39,31,2025-07-21,541.75,"Авиалинии,_авиакомпании_Store_90","Авиалинии, авиакомпании",3118,not green
40,25,2025-10-13,949.36,"Колледжи,_университеты,_профессиональные_училища_и_техникумы_Store_55","Колледжи, университеты, профессиональные училища и техникумы",8220,green
41,24,2025-06-21,259.2,Park_Plaza_Hotel_Store_44,Park Plaza Hotel,3830,not green
42,19,2025-08-12,240.08,Услуги_садоводства_и_ландшафтного_дизайна_Store_36,,780,green
43,2,2025-11-14,215.5,"Пассажирские_перевозки_-_пригородные_и_местные_пригородные_рейсы,_включая_паромы_Store_20","Пассажирские перевозки - пригородные и местные пригородные рейсы, включая паромы",4111,green
44,22,2025-06-18,1083.63,"Пассажирские_перевозки_-_пригородные_и_местные_пригородные_рейсы,_включая_паромы_Store_28","Пассажирские перевозки - пригородные и местные пригородные рейсы, включая паромы",4111,green
